Ausbildungsentgelte für Erzieher*innen in der praxisintegrierten Ausbildung (PiA) ab 1. April 2025 (in Euro);
im ersten Ausbildungsjahr;1415,69
im zweiten Ausbildungsjahr;1477,07
im ersten Ausbildungsjahr;1578,38
